episode,reward,max_x
585,18.5200,1076.0000
586,18.1600,1058.0000
587,37.1200,2006.0000
588,14.8400,892.0000
589,56.9600,2948.0000
590,19.4400,1122.0000
591,18.5000,1075.0000
592,36.8400,1992.0000
593,18.3000,1065.0000
594,18.1800,1059.0000
595,36.1000,1955.0000
596,18.3000,1065.0000
597,58.2200,3011.0000
598,19.6000,1130.0000
599,37.9200,2046.0000
600,18.2600,1063.0000
601,18.5200,1076.0000
602,19.6200,1131.0000
603,19.4000,1120.0000
604,18.6600,1083.0000
605,13.9600,848.0000
606,18.8000,1090.0000
607,49.7400,2637.0000
608,19.2800,1114.0000
609,18.7600,1088.0000
610,14.4400,872.0000
611,20.7600,1188.0000
612,19.6600,1133.0000
613,18.6800,1084.0000
614,19.0000,1100.0000
615,49.3200,2616.0000
616,49.1400,2607.0000
617,56.9800,2949.0000
618,18.4200,1071.0000
619,19.4400,1122.0000
620,18.6600,1083.0000
621,18.3400,1067.0000
622,36.2000,1960.0000
623,18.5000,1075.0000
624,18.2400,1062.0000
625,18.2800,1064.0000
626,21.2200,1211.0000
627,50.1200,2656.0000
628,48.8800,2594.0000
629,63.2600,3263.0000
630,18.3600,1068.0000
631,18.3400,1067.0000
632,19.3400,1117.0000
633,48.9000,2595.0000
634,22.1000,1255.0000
635,35.6200,1931.0000
636,56.9600,2948.0000
637,18.3800,1069.0000
638,42.5200,2276.0000
639,51.7000,2735.0000
640,56.9400,2947.0000
641,55.7000,2885.0000
642,43.9200,2346.0000
643,18.1800,1059.0000
644,18.4000,1070.0000
645,49.1800,2609.0000
646,18.2000,1060.0000
647,18.4600,1073.0000
648,18.6200,1081.0000
649,36.5800,1979.0000
650,19.0800,1104.0000
651,18.6800,1084.0000
652,18.7400,1087.0000
653,57.6000,2980.0000
654,18.5600,1078.0000
655,18.3400,1067.0000
656,18.8000,1090.0000
657,18.3400,1067.0000
658,18.2600,1063.0000
659,18.4200,1071.0000
660,43.5600,2328.0000
661,58.4200,3071.0000
662,18.1400,1057.0000
663,18.1600,1058.0000
664,18.5800,1079.0000
665,18.2200,1061.0000
666,18.2200,1061.0000
667,59.8600,3093.0000
668,50.9200,2696.0000
669,36.6400,1982.0000
670,18.3400,1067.0000
671,56.9600,2948.0000
672,59.6000,3080.0000
673,18.2200,1061.0000
674,13.7800,839.0000
675,56.9400,2947.0000
676,18.9400,1097.0000
677,18.1400,1057.0000
678,23.4400,1322.0000
679,19.9600,1148.0000
680,20.0400,1152.0000
681,18.6800,1084.0000
682,20.1800,1159.0000
683,18.1600,1058.0000
684,43.1200,2306.0000
685,43.1800,2309.0000
686,13.5600,828.0000
687,49.1600,2608.0000
688,18.6000,1080.0000
689,18.1000,1055.0000
690,18.3000,1065.0000
691,18.6200,1081.0000
692,44.1000,2355.0000
693,56.9400,2947.0000
694,19.0600,1103.0000
695,48.4000,2570.0000
696,18.2000,1060.0000
697,49.6600,2633.0000
698,18.2000,1060.0000
699,18.1600,1058.0000
700,14.0400,852.0000
701,59.0600,3053.0000
702,18.4400,1072.0000
703,52.9000,2795.0000
704,14.7800,889.0000
705,18.2800,1064.0000
706,18.3200,1066.0000
707,13.3800,819.0000
708,13.6800,834.0000
709,19.8800,1144.0000
710,18.4600,1073.0000
711,51.4400,2722.0000
712,19.1000,1105.0000
713,18.9200,1096.0000
714,18.6400,1082.0000
715,56.9400,2947.0000
716,18.2600,1063.0000
717,46.5200,2476.0000
718,44.5000,2375.0000
719,20.7400,1187.0000
720,19.9000,1145.0000
721,18.1400,1057.0000
722,19.2200,1111.0000
723,18.4400,1072.0000
724,59.8200,3091.0000
725,19.1000,1105.0000
726,19.2600,1113.0000
727,18.3200,1066.0000
728,18.0600,1053.0000
729,50.1000,2655.0000
730,21.3200,1216.0000
731,48.6200,2581.0000
732,56.9200,2946.0000
733,18.2400,1062.0000
734,18.2000,1060.0000
735,49.6800,2634.0000
736,20.8000,1190.0000
737,58.3800,3019.0000
738,19.0400,1102.0000
739,52.5000,2775.0000
740,18.5200,1076.0000
741,18.6200,1081.0000
742,18.8800,1094.0000
743,19.8200,1141.0000
744,18.5000,1075.0000
745,36.7000,1985.0000
746,18.1200,1056.0000
747,18.3400,1067.0000
748,18.4200,1071.0000
749,18.3400,1067.0000
750,35.9800,1949.0000
751,19.4200,1121.0000
752,18.8800,1094.0000
753,18.3000,1065.0000
754,18.5000,1075.0000
755,18.3600,1068.0000
756,18.3400,1067.0000
757,18.2400,1062.0000
758,18.3000,1065.0000
759,19.8000,1140.0000
760,18.1600,1058.0000
761,19.8200,1141.0000
762,18.0800,1054.0000
763,58.2000,3060.0000
764,18.4200,1071.0000
765,20.5000,1175.0000
766,43.4200,2321.0000
767,15.2600,913.0000
768,18.5200,1076.0000
769,18.2400,1062.0000
770,18.1200,1056.0000
771,56.9200,2946.0000
772,18.3800,1069.0000
773,18.1600,1058.0000
774,18.5200,1076.0000
775,18.3400,1067.0000
776,19.1400,1107.0000
777,19.0000,1100.0000
778,18.6000,1080.0000
779,36.0600,1953.0000
780,18.3400,1067.0000
781,21.4200,1221.0000
782,19.5400,1127.0000
783,56.9600,2948.0000
784,19.6400,1132.0000
785,19.1600,1108.0000
786,13.2600,813.0000
787,51.3200,2716.0000
788,18.3800,1069.0000
789,18.3400,1067.0000
790,56.9600,2948.0000
791,18.0400,1052.0000
792,15.6000,930.0000
793,50.4200,2671.0000
794,18.2800,1064.0000
795,21.1400,1207.0000
796,18.2800,1064.0000
797,18.3200,1066.0000
798,44.9200,2396.0000
799,19.4000,1120.0000
800,18.3000,1065.0000
801,18.1800,1059.0000
802,36.5600,1978.0000
803,43.9800,2349.0000
804,44.3800,2369.0000
805,18.2800,1064.0000
