T,trajectories,best_r,best_x
217000,25,113.4000,5370
217100,25,113.4000,5370
217200,25,113.4000,5370
217300,25,113.4000,5370
217400,25,113.4000,5370
217500,25,113.4000,5370
217600,25,113.4000,5370
217700,25,113.4000,5370
217800,25,113.4000,5370
217900,25,113.4000,5370
218000,25,113.4000,5370
218100,25,113.4000,5370
218200,25,113.4000,5370
218300,25,113.4000,5370
218400,25,113.4000,5370
218500,25,113.4000,5370
218600,25,113.4000,5370
218700,25,113.4000,5370
218800,25,113.4000,5370
218900,25,113.4000,5370
219000,25,113.4000,5370
219100,25,113.4000,5370
219200,25,113.4000,5370
219300,25,113.4000,5370
219400,25,113.4000,5370
219500,25,113.4000,5370
219600,25,113.4000,5370
219700,25,113.4000,5370
219800,25,113.4000,5370
219900,25,113.4000,5370
220000,25,113.4000,5370
220100,25,113.4000,5370
220200,25,113.4000,5370
220300,25,113.4000,5370
220400,25,113.4000,5370
220500,25,113.4000,5370
220600,25,113.4000,5370
220700,25,113.4000,5370
220800,25,113.4000,5370
220900,25,113.4000,5370
221000,25,113.4000,5370
221100,25,113.4000,5370
221200,25,113.4000,5370
221300,25,113.4000,5370
221400,25,113.4000,5370
221500,25,113.4000,5370
221600,25,113.4000,5370
221700,25,113.4000,5370
221800,25,113.4000,5370
221900,25,113.4000,5370
222000,25,113.4000,5370
222100,25,113.4000,5370
222200,25,113.4000,5370
222300,25,113.4000,5370
222400,25,113.4000,5370
